hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,34.36,33.59,40.23,34.05,21.18
2,34.1,31.72,37.24,32.9,25.8
3,31.27,30.25,35.55,32.57,22.09
4,32.15,30.18,36.06,26.71,21.08
5,32.58,30.11,37.08,31.39,25.21
6,35.81,30.95,42.26,27.99,28.0
7,41.08,35.42,47.61,32.53,29.99
8,41.92,35.81,45.6,36.1,33.09
9,39.58,35.52,43.64,36.07,35.82
10,35.17,35.17,39.5,33.05,35.74
11,35.17,35.17,38.13,34.85,39.28
12,35.94,35.66,37.59,38.1,42.59
13,36.92,35.84,38.07,34.85,42.45
14,36.82,35.94,39.95,33.92,42.55
15,36.58,35.24,41.22,33.54,39.9
16,39.11,36.64,42.3,35.25,42.69
17,48.07,39.45,53.21,39.17,47.62
18,53.53,47.88,57.65,52.93,56.39
19,55.73,49.04,60.99,70.28,63.41
20,51.11,46.43,55.76,70.04,51.12
21,45.62,39.73,49.82,70.57,45.44
22,37.67,37.27,41.15,51.59,39.87
23,37.67,36.35,40.75,35.46,36.63
24,35.33,32.71,39.11,36.64,30.68
