hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,33.43,30.39,34.17,31.63,26.96
2,33.62,30.4,34.22,32.37,23.9
3,33.59,29.8,34.15,31.31,20.16
4,33.88,29.77,34.4,30.95,20.25
5,34.89,31.18,36.1,32.98,24.36
6,39.75,35.61,47.84,45.3,30.42
7,43.1,36.82,53.63,56.96,34.64
8,41.48,36.82,51.13,57.61,44.55
9,38.62,35.56,43.39,40.3,44.15
10,37.38,35.16,41.39,41.75,37.02
11,37.3,34.52,41.39,49.38,34.69
12,36.7,35.6,42.29,43.89,34.69
13,38.07,35.91,42.61,43.64,35.37
14,38.39,36.5,43.89,52.46,36.37
15,39.09,35.48,45.59,45.0,38.34
16,39.35,35.77,45.96,55.68,40.23
17,48.22,39.59,53.44,76.44,43.32
18,53.73,45.42,55.37,103.04,47.08
19,57.17,49.87,61.44,101.82,47.42
20,53.71,45.55,58.58,71.18,46.44
21,42.58,38.02,51.09,50.25,38.94
22,38.2,34.04,41.41,37.07,31.82
23,34.87,33.02,38.43,33.47,31.01
24,34.02,31.89,38.28,31.48,29.29
