hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,33.92,32.85,37.78,32.42,20.13
2,31.06,31.06,37.38,31.32,24.53
3,29.65,28.23,35.58,30.98,21.01
4,29.63,28.23,34.95,25.41,20.05
5,30.52,28.49,35.53,29.87,24.01
6,34.65,28.41,39.8,26.81,26.63
7,37.16,33.35,46.93,31.06,28.37
8,38.15,34.68,43.4,34.49,31.27
9,37.27,35.25,42.84,34.49,33.99
10,33.93,33.93,35.94,31.58,33.97
11,33.69,33.69,35.81,33.29,37.42
12,34.21,34.21,35.75,36.38,40.63
13,35.36,34.51,37.33,33.28,40.52
14,34.95,34.74,37.28,32.39,40.58
15,35.23,33.96,37.59,31.99,37.99
16,36.95,34.97,40.47,33.51,40.59
17,42.57,38.12,49.39,37.18,45.21
18,53.15,46.12,55.7,50.19,53.36
19,54.36,46.91,58.3,66.77,59.9
20,48.73,43.65,50.63,66.7,48.36
21,42.55,37.08,49.53,67.2,42.99
22,36.23,35.03,39.57,49.34,37.86
23,35.44,34.76,39.16,34.01,34.92
24,31.88,31.83,38.02,35.14,29.21
