target_date,vintage,generated_at,analog_date,analog_date_2,hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2,band_err
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,1,29.74,26.23,33.52,25.87,28.49,2.8
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,2,29.98,26.5,32.71,23.75,28.03,2.83
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,3,29.48,26.46,32.41,23.41,27.95,2.85
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,4,28.72,26.25,32.41,23.17,32.12,2.45
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,5,34.41,28.91,34.41,30.43,35.39,2.59
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,6,37.52,31.98,37.52,38.94,40.04,3.97
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,7,48.83,37.56,53.9,62.67,51.37,5.66
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,8,48.49,37.44,51.66,64.88,43.39,4.86
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,9,38.92,35.04,41.39,34.62,34.11,6.04
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,10,34.95,34.02,37.74,33.72,44.45,5.63
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,11,34.93,33.48,37.9,31.76,40.94,6.19
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,12,34.93,33.42,37.58,34.21,47.89,6.0
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,13,35.31,34.43,37.8,34.78,50.5,7.55
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,14,36.93,34.54,39.47,34.53,55.61,7.04
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,15,36.56,35.22,40.66,35.12,55.08,7.16
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,16,39.37,35.61,44.02,37.02,65.25,7.9
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,17,46.2,40.39,50.59,54.88,64.79,8.98
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,18,55.23,48.17,56.54,73.92,81.54,7.51
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,19,59.98,49.57,59.98,76.18,76.69,6.56
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,20,54.88,45.76,55.95,58.35,62.61,6.5
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,21,45.16,38.62,48.97,47.64,41.31,7.32
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,22,40.85,35.49,44.88,37.13,38.11,3.72
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,23,36.93,33.35,38.3,33.28,35.35,2.89
2026-09-24,pre_dam,2026-09-23T13:01:49.270919+00:00,2025-10-01,2025-10-02,24,35.32,32.9,37.81,32.24,34.74,3.67
