target_date,vintage,generated_at,analog_date,analog_date_2,hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2,band_err
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,1,30.22,27.77,33.25,26.88,29.57,2.61
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,2,28.85,27.86,32.2,24.63,29.06,2.57
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,3,28.81,27.73,32.31,24.29,28.99,2.16
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,4,28.81,27.89,32.04,24.01,33.1,1.95
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,5,34.43,30.5,34.43,31.51,36.41,2.37
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,6,36.63,32.71,37.63,39.69,41.0,3.92
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,7,42.92,37.17,50.66,64.91,53.02,5.32
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,8,43.41,37.15,50.83,67.01,44.67,4.49
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,9,37.09,34.99,41.31,35.66,35.36,5.76
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,10,35.21,33.77,37.76,34.74,46.02,5.51
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,11,33.78,33.78,36.77,32.72,42.5,6.17
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,12,35.15,34.48,37.95,35.13,50.15,5.79
2026-09-24,pre_dam,2026-09-23T13:01:40.721059+00:00,2025-10-01,2025-10-02,13,35.35,34.74,38.6,35.55,52.8,7.02
