date,hour,resource_name,resource_type,energy_mw,lmp_dam,lmp_rtm,spread,pnl
2026-06-03,3,OTTAWA_OFFER:HUB,GEN,0.0,15.28,21.151666666666667,-5.871666666666668,-0.0
2026-06-03,4,OTTAWA_OFFER:HUB,GEN,0.0,14.71,5.7491666666666665,8.960833333333333,0.0
2026-06-03,5,OTTAWA_OFFER:HUB,GEN,0.0,15.3,7.553333333333334,7.746666666666667,0.0
2026-06-04,17,OTTAWA_BID:HUB,LD,-1.0,66.99,72.435,-5.445000000000007,5.445000000000007
2026-06-09,19,OTTAWA_BID:HUB,LD,-1.0,78.22,63.79333333333333,14.42666666666667,-14.42666666666667
2026-06-09,20,OTTAWA_BID:HUB,LD,-1.0,64.44,60.60666666666666,3.8333333333333357,-3.8333333333333357
2026-06-11,17,OTTAWA_BID:HUB,LD,0.0,175.09,54.145,120.945,0.0
2026-06-11,18,OTTAWA_BID:HUB,LD,0.0,228.62,85.55416666666667,143.06583333333333,0.0
2026-06-23,17,OTTAWA_BID:HUB,LD,-2.0,63.02,38.336666666666666,24.683333333333337,-49.366666666666674
2026-06-29,16,OTTAWA_BID:HUB,LD,-1.0,109.32,171.92499999999998,-62.60499999999999,62.60499999999999
2026-06-29,17,OTTAWA_BID:HUB,LD,-0.6,147.36,85.31416666666667,62.04583333333335,-37.227500000000006
2026-06-30,16,OTTAWA_BID:HUB,LD,-1.0,137.02,88.43666666666667,48.58333333333334,-48.58333333333334
2026-06-30,17,OTTAWA_BID:HUB,LD,-1.0,156.97,59.475,97.495,-97.495
2026-06-30,18,OTTAWA_BID:HUB,LD,-1.0,198.11,59.88333333333333,138.2266666666667,-138.2266666666667
2026-06-30,19,OTTAWA_BID:HUB,LD,0.0,240.01,434.9058333333333,-194.89583333333331,-0.0
2026-07-01,10,OTTAWA_BID:HUB,LD,-1.0,96.96,198.53416666666664,-101.57416666666664,101.57416666666664
2026-07-01,11,OTTAWA_BID:HUB,LD,-1.0,167.43,77.46583333333332,89.96416666666669,-89.96416666666669
2026-07-01,12,OTTAWA_BID:HUB,LD,0.0,221.84,251.65416666666667,-29.814166666666665,-0.0
2026-07-01,13,OTTAWA_BID:HUB,LD,0.0,228.58,223.9825,4.597500000000025,0.0
2026-07-02,1,OTTAWA_BID:HUB,LD,-1.0,54.26,47.66416666666667,6.595833333333331,-6.595833333333331
2026-07-02,2,OTTAWA_BID:HUB,LD,-1.0,57.73,42.77333333333333,14.956666666666663,-14.956666666666663
2026-07-02,12,OTTAWA_BID:HUB,LD,-1.0,233.73,139.75666666666666,93.97333333333333,-93.97333333333333
2026-07-02,15,OTTAWA_BID:HUB,LD,0.0,304.18,206.3058333333333,97.8741666666667,0.0
2026-07-03,12,OTTAWA_BID:HUB,LD,-1.0,148.87,132.6225,16.247500000000002,-16.247500000000002
2026-07-03,13,OTTAWA_BID:HUB,LD,-1.0,185.23,127.39833333333333,57.83166666666666,-57.83166666666666
2026-07-04,12,OTTAWA_BID:HUB,LD,0.0,91.04,67.23083333333334,23.80916666666667,0.0
2026-07-04,15,OTTAWA_BID:HUB,LD,0.0,97.63,63.2375,34.3925,0.0
2026-07-04,17,OTTAWA_BID:HUB,LD,0.0,152.7,214.15916666666664,-61.45916666666665,-0.0
2026-07-05,15,OTTAWA_BID:HUB,LD,-1.0,61.89,69.16166666666668,-7.271666666666675,7.271666666666675
2026-07-05,17,OTTAWA_BID:HUB,LD,-1.0,88.3,61.435833333333335,26.864166666666662,-26.864166666666662
2026-07-07,14,OTTAWA_BID:HUB,LD,-1.0,74.39,63.86166666666667,10.528333333333329,-10.528333333333329
2026-07-07,15,OTTAWA_BID:HUB,LD,-1.0,76.71,52.13181818181818,24.57818181818181,-24.57818181818181
2026-07-08,16,OTTAWA_BID:HUB,LD,0.0,104.07,50.04916666666667,54.02083333333332,0.0
2026-07-09,1,OTTAWA_BID:HUB,LD,-1.0,41.17,64.59,-23.42,23.42
2026-07-09,2,OTTAWA_BID:HUB,LD,-1.0,39.18,50.998333333333335,-11.818333333333335,11.818333333333335
2026-07-09,11,OTTAWA_BID:HUB,LD,-0.8,80.03,50.79416666666666,29.23583333333334,-23.388666666666673
2026-07-10,8,OTTAWA_BID:HUB,LD,-1.0,73.61,45.35666666666666,28.253333333333337,-28.253333333333337
2026-07-10,10,OTTAWA_BID:HUB,LD,0.0,84.56,39.91416666666667,44.645833333333336,0.0
2026-07-10,11,OTTAWA_BID:HUB,LD,-1.0,88.24,48.20666666666667,40.033333333333324,-40.033333333333324
