interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,ontario,ontario_northeast,ontario_northwest,ontario_southwest,ontario_southeast
2025-05-20 00:00:00-05:00,2025-05-20 05:00:00+00:00,2025-05-20 01:00:00-05:00,2025-05-20 06:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,12480.0,1189.0,518.0,4265.0,6508.0
2025-05-20 01:00:00-05:00,2025-05-20 06:00:00+00:00,2025-05-20 02:00:00-05:00,2025-05-20 07:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,12276.0,1196.0,517.0,4198.0,6365.0
2025-05-20 02:00:00-05:00,2025-05-20 07:00:00+00:00,2025-05-20 03:00:00-05:00,2025-05-20 08:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,12209.0,1200.0,518.0,4191.0,6300.0
2025-05-20 03:00:00-05:00,2025-05-20 08:00:00+00:00,2025-05-20 04:00:00-05:00,2025-05-20 09:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,12331.0,1170.0,492.0,4334.0,6335.0
2025-05-20 04:00:00-05:00,2025-05-20 09:00:00+00:00,2025-05-20 05:00:00-05:00,2025-05-20 10:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,13323.0,1155.0,483.0,4513.0,6617.0
2025-05-20 05:00:00-05:00,2025-05-20 10:00:00+00:00,2025-05-20 06:00:00-05:00,2025-05-20 11:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14428.0,1205.0,488.0,4915.0,7265.0
2025-05-20 06:00:00-05:00,2025-05-20 11:00:00+00:00,2025-05-20 07:00:00-05:00,2025-05-20 12:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14929.0,1233.0,447.0,5351.0,7898.0
2025-05-20 07:00:00-05:00,2025-05-20 12:00:00+00:00,2025-05-20 08:00:00-05:00,2025-05-20 13:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,15042.0,1220.0,458.0,5427.0,7937.0
2025-05-20 08:00:00-05:00,2025-05-20 13:00:00+00:00,2025-05-20 09:00:00-05:00,2025-05-20 14:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,15021.0,1205.0,452.0,5395.0,7969.0
2025-05-20 09:00:00-05:00,2025-05-20 14:00:00+00:00,2025-05-20 10:00:00-05:00,2025-05-20 15:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14885.0,1172.0,432.0,5345.0,7936.0
2025-05-20 10:00:00-05:00,2025-05-20 15:00:00+00:00,2025-05-20 11:00:00-05:00,2025-05-20 16:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14664.0,1135.0,413.0,5243.0,7873.0
2025-05-20 11:00:00-05:00,2025-05-20 16:00:00+00:00,2025-05-20 12:00:00-05:00,2025-05-20 17:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14784.0,1124.0,412.0,5264.0,7984.0
2025-05-20 12:00:00-05:00,2025-05-20 17:00:00+00:00,2025-05-20 13:00:00-05:00,2025-05-20 18:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14803.0,1127.0,409.0,5274.0,7993.0
2025-05-20 13:00:00-05:00,2025-05-20 18:00:00+00:00,2025-05-20 14:00:00-05:00,2025-05-20 19:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,14904.0,1142.0,417.0,5298.0,8047.0
2025-05-20 14:00:00-05:00,2025-05-20 19:00:00+00:00,2025-05-20 15:00:00-05:00,2025-05-20 20:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,15155.0,1155.0,427.0,5337.0,8236.0
2025-05-20 15:00:00-05:00,2025-05-20 20:00:00+00:00,2025-05-20 16:00:00-05:00,2025-05-20 21:00:00+00:00,2025-05-20 12:20:42-05:00,2025-05-20 17:20:42+00:00,15708.0,1179.0,432.0,5526.0,8571.0
