interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,last_modified_local,last_modified_utc,zone,generation_forecast
2026-06-27 08:00:00-05:00,2026-06-27 13:00:00+00:00,2026-06-27 09:00:00-05:00,2026-06-27 14:00:00+00:00,2026-06-27 07:33:19-05:00,2026-06-27 12:33:19+00:00,2026-06-27 07:56:00-05:00,2026-06-27 12:56:00+00:00,Bruce,18.7
2026-06-27 09:00:00-05:00,2026-06-27 14:00:00+00:00,2026-06-27 10:00:00-05:00,2026-06-27 15:00:00+00:00,2026-06-27 08:33:20-05:00,2026-06-27 13:33:20+00:00,2026-06-27 08:56:00-05:00,2026-06-27 13:56:00+00:00,Bruce,0.0
2026-06-27 10:00:00-05:00,2026-06-27 15:00:00+00:00,2026-06-27 11:00:00-05:00,2026-06-27 16:00:00+00:00,2026-06-27 09:33:24-05:00,2026-06-27 14:33:24+00:00,2026-06-27 09:56:00-05:00,2026-06-27 14:56:00+00:00,Bruce,0.0
2026-06-27 11:00:00-05:00,2026-06-27 16:00:00+00:00,2026-06-27 12:00:00-05:00,2026-06-27 17:00:00+00:00,2026-06-27 10:33:25-05:00,2026-06-27 15:33:25+00:00,2026-06-27 10:56:00-05:00,2026-06-27 15:56:00+00:00,Bruce,9.5
2026-06-27 12:00:00-05:00,2026-06-27 17:00:00+00:00,2026-06-27 13:00:00-05:00,2026-06-27 18:00:00+00:00,2026-06-27 11:33:24-05:00,2026-06-27 16:33:24+00:00,2026-06-27 11:56:00-05:00,2026-06-27 16:56:00+00:00,Bruce,17.8
2026-06-27 13:00:00-05:00,2026-06-27 18:00:00+00:00,2026-06-27 14:00:00-05:00,2026-06-27 19:00:00+00:00,2026-06-27 12:33:19-05:00,2026-06-27 17:33:19+00:00,2026-06-27 12:56:00-05:00,2026-06-27 17:56:00+00:00,Bruce,42.7
2026-06-27 14:00:00-05:00,2026-06-27 19:00:00+00:00,2026-06-27 15:00:00-05:00,2026-06-27 20:00:00+00:00,2026-06-27 13:33:08-05:00,2026-06-27 18:33:08+00:00,2026-06-27 13:56:00-05:00,2026-06-27 18:56:00+00:00,Bruce,93.1
2026-06-27 15:00:00-05:00,2026-06-27 20:00:00+00:00,2026-06-27 16:00:00-05:00,2026-06-27 21:00:00+00:00,2026-06-27 14:33:14-05:00,2026-06-27 19:33:14+00:00,2026-06-27 14:56:00-05:00,2026-06-27 19:56:00+00:00,Bruce,90.5
2026-06-27 16:00:00-05:00,2026-06-27 21:00:00+00:00,2026-06-27 17:00:00-05:00,2026-06-27 22:00:00+00:00,2026-06-27 15:33:08-05:00,2026-06-27 20:33:08+00:00,2026-06-27 15:56:00-05:00,2026-06-27 20:56:00+00:00,Bruce,129.2
2026-06-27 17:00:00-05:00,2026-06-27 22:00:00+00:00,2026-06-27 18:00:00-05:00,2026-06-27 23:00:00+00:00,2026-06-27 16:33:08-05:00,2026-06-27 21:33:08+00:00,2026-06-27 16:56:00-05:00,2026-06-27 21:56:00+00:00,Bruce,111.8
