hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,18.86,6.62,31.57,19.12,24.93
2,19.79,6.64,32.9,12.6,31.88
3,19.39,8.45,33.02,15.16,34.34
4,20.26,13.88,33.26,33.02,34.66
5,26.32,17.2,34.26,33.63,28.66
6,37.78,25.4,42.14,35.95,39.64
7,43.2,28.9,60.39,49.56,45.16
8,40.85,30.56,58.91,38.15,35.66
9,32.74,22.68,47.21,37.1,36.85
10,26.19,19.9,35.3,33.53,41.44
11,40.77,18.77,52.11,49.98,35.89
12,40.32,19.23,48.52,43.41,39.23
13,34.28,21.32,41.65,44.15,48.23
14,33.6,21.95,40.06,45.01,51.67
15,28.81,25.98,28.81,69.21,56.59
16,37.94,25.96,52.13,62.72,73.53
17,44.3,33.39,58.6,141.06,90.84
18,53.87,33.81,67.04,102.11,251.08
19,62.18,34.58,106.31,40.52,65.29
20,63.06,34.99,108.49,34.8,50.92
21,46.64,34.16,65.39,39.41,34.94
22,35.85,27.25,45.48,30.86,34.67
23,32.69,23.25,40.98,29.15,27.71
24,31.51,21.67,40.12,24.1,33.29
