hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,26.39,22.09,34.26,28.91,16.75
2,28.71,22.92,34.87,30.74,14.41
3,28.5,22.72,36.02,33.02,14.4
4,28.43,22.73,36.83,28.64,19.32
5,31.19,25.48,42.05,32.67,30.27
6,41.14,32.59,53.7,90.78,35.8
7,46.1,34.15,61.78,147.66,39.26
8,47.01,34.75,63.44,79.97,43.38
9,39.13,30.02,57.32,46.09,36.0
10,39.63,29.29,54.83,96.29,30.66
11,40.64,30.04,53.92,49.18,29.73
12,40.9,29.09,55.63,47.12,30.48
13,42.32,30.41,53.95,39.93,30.49
14,40.28,29.76,51.78,38.59,30.27
15,40.08,29.77,55.03,45.01,30.15
16,40.58,32.85,52.44,63.0,30.0
17,49.76,35.31,74.53,142.97,26.11
18,54.77,36.47,91.73,193.85,29.9
19,57.72,36.1,98.95,57.0,30.5
20,52.8,35.4,91.48,31.5,23.01
21,40.84,32.63,56.16,40.73,26.99
22,34.95,26.7,50.28,39.54,13.26
23,29.42,23.15,35.52,30.45,9.57
24,27.54,20.18,32.26,31.13,12.46
