hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,32.75,23.14,38.24,37.98,43.05
2,32.82,20.77,38.95,76.61,48.24
3,30.61,18.98,39.65,36.08,40.43
4,30.61,19.01,41.12,78.18,38.61
5,30.82,19.5,42.92,39.03,42.86
6,33.23,22.32,43.53,40.01,51.61
7,35.71,25.12,45.04,35.83,59.5
8,36.59,25.58,46.02,41.04,107.98
9,36.94,25.46,45.77,26.88,151.26
10,34.99,23.35,42.83,20.36,21.49
11,34.07,22.2,44.69,28.58,36.85
12,34.69,22.98,45.61,49.59,32.65
13,35.14,22.28,46.33,47.37,44.38
14,33.55,22.16,42.86,36.51,97.99
15,35.8,23.71,50.4,10.54,35.13
16,40.63,27.8,70.85,20.9,39.01
17,50.46,32.21,63.94,31.09,32.99
18,56.43,35.87,116.06,37.87,39.56
19,54.06,36.02,114.98,36.25,275.32
20,44.97,34.31,62.51,41.46,304.37
21,41.12,27.54,58.89,33.02,62.82
22,37.83,23.01,62.4,53.45,84.21
23,33.48,20.66,41.42,34.5,39.94
24,32.53,18.62,39.63,24.09,28.49
