hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,1.94,-0.64,11.82,-5.8,-24.08
2,2.5,-1.83,12.21,-47.44,-25.03
3,7.84,-4.16,13.36,-5.26,-20.51
4,7.92,-5.83,13.22,-55.61,-19.61
5,8.15,-4.95,14.72,-9.71,-19.79
6,6.52,-4.99,15.73,-13.86,-26.38
7,7.02,-4.24,17.11,-5.03,-32.74
8,7.53,-6.82,18.08,-6.91,-80.72
9,4.61,-7.26,15.95,7.89,-123.51
10,2.1,-11.08,11.93,11.71,13.12
11,2.92,-11.18,11.85,4.94,0.5
12,-1.39,-20.71,11.71,-13.79,8.28
13,-5.3,-21.4,11.69,-14.67,-4.06
14,0.53,-13.33,12.94,-4.18,-59.92
15,-5.41,-13.49,11.03,22.52,3.12
16,-3.14,-28.08,9.37,13.4,1.8
17,-3.3,-18.21,14.38,6.56,12.99
18,-0.04,-14.92,15.48,13.22,14.75
19,2.94,-14.68,16.31,32.23,-227.1
20,7.36,-14.76,14.46,26.58,-269.09
21,6.85,-14.01,19.65,35.91,-20.75
22,8.02,-14.78,20.77,-4.26,-48.69
23,7.66,-4.77,18.6,-0.57,-5.32
24,6.46,-2.45,18.56,11.56,0.77
