hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,2.38,0.65,10.74,2.72,10.21
2,2.46,-1.25,11.89,1.63,9.49
3,2.14,-2.9,10.26,-1.71,5.76
4,3.09,-2.78,10.48,2.31,0.93
5,1.28,-6.33,10.18,0.31,-5.91
6,-1.22,-12.65,12.36,-45.48,-5.38
7,0.37,-12.85,13.06,-90.7,-4.62
8,-5.1,-17.7,9.73,-22.36,1.17
9,-1.48,-15.12,9.25,-5.79,8.15
10,-1.03,-11.94,6.81,-54.54,6.36
11,-2.96,-12.81,7.05,0.2,4.96
12,-5.16,-13.94,8.61,-3.23,4.21
13,-1.91,-10.14,7.96,3.71,4.88
14,-3.0,-5.86,8.49,13.87,6.1
15,-4.37,-8.74,7.26,-0.01,8.19
16,-7.66,-14.75,6.91,-7.32,10.23
17,-8.62,-21.13,9.58,-66.53,17.21
18,-6.67,-23.29,14.07,-90.81,17.18
19,-6.38,-29.7,18.81,44.82,16.92
20,-1.94,-19.86,11.65,39.68,23.43
21,-2.87,-9.61,8.78,9.52,11.95
22,0.21,-8.71,9.53,-2.47,18.56
23,3.92,-0.78,11.84,3.02,21.44
24,4.85,-0.09,13.66,0.35,16.83
