hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2
1,6.34,-0.39,12.72,0.85,11.09
2,3.97,-2.63,11.21,-0.66,10.42
3,4.05,-3.56,11.26,-1.39,6.69
4,4.28,-2.87,11.53,2.85,1.81
5,1.32,-4.92,10.7,0.53,-5.43
6,0.61,-9.73,8.1,-45.97,-4.75
7,-0.42,-18.16,12.26,-93.72,-4.03
8,-4.3,-22.1,10.01,-23.26,2.47
9,-1.51,-16.96,7.99,-5.64,9.43
10,-1.74,-14.57,7.74,-56.22,6.95
11,-2.34,-15.94,6.52,0.66,5.22
12,-1.41,-14.83,7.26,-2.67,4.46
13,-4.14,-11.49,7.67,4.1,5.44
14,-2.33,-9.61,8.07,14.73,6.58
15,-2.07,-13.07,6.88,0.31,8.71
16,-4.54,-13.32,5.58,-7.07,10.85
17,-5.83,-21.37,10.13,-70.16,18.64
18,-5.38,-31.76,14.97,-106.34,18.66
19,-3.53,-33.16,21.76,51.9,18.25
20,-2.11,-34.14,17.89,44.02,25.06
21,1.59,-10.15,10.53,13.8,12.87
22,1.01,-9.38,11.5,-0.74,19.79
23,3.1,-2.01,10.55,4.15,22.11
24,4.18,1.6,12.86,1.39,17.46
