target_date,vintage,generated_at,analog_date,analog_date_2,hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2,band_err
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,1,0.43,-7.07,13.99,8.24,6.03,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,2,0.73,-7.73,14.8,11.67,-0.13,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,3,3.99,-7.52,14.37,8.8,-2.36,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,4,8.17,-4.14,17.11,-8.48,-0.96,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,5,6.85,-4.38,15.32,-1.88,7.87,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,6,2.86,-11.47,19.5,4.11,1.99,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,7,2.43,-17.47,16.81,15.29,8.61,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,8,0.22,-17.06,13.46,28.49,9.8,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,9,2.75,-12.29,12.95,-0.82,-0.73,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,10,4.85,-0.98,14.19,1.78,5.46,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,11,9.7,-4.79,14.84,-16.02,7.27,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,12,6.83,-1.28,15.38,-7.06,11.06,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,13,4.31,-1.7,15.86,-7.25,5.09,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,14,4.33,0.85,17.96,-8.12,6.96,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,15,2.78,-0.94,11.14,-30.34,1.79,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,16,-0.62,-15.21,10.61,-22.12,-3.6,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,17,-1.86,-21.48,12.31,-76.76,-18.77,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,18,0.75,-20.55,16.56,-21.65,11.7,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,19,0.2,-36.17,27.29,38.78,17.27,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,20,-0.9,-36.68,20.05,26.69,16.53,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,21,-1.91,-18.81,12.91,11.44,9.18,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,22,0.41,-11.33,12.33,8.25,6.07,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,23,1.8,-4.51,13.48,5.51,9.51,
2026-09-24,post_dam,2026-09-23T22:24:00.792003+00:00,2025-10-01,2025-10-02,24,3.28,-1.92,14.15,9.58,3.53,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,1,6.77,1.5,20.4,8.24,6.03,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,2,5.72,0.86,20.29,11.67,-0.13,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,3,6.42,-1.47,19.61,8.8,-2.36,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,4,2.16,-3.06,17.37,-8.48,-0.96,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,5,6.16,-2.34,14.8,-1.88,7.87,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,6,1.24,-7.08,15.5,4.11,1.99,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,7,5.05,-8.51,20.6,15.29,8.61,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,8,1.07,-14.43,17.73,28.49,9.8,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,9,3.39,-7.55,14.79,-0.82,-0.73,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,10,5.94,2.63,13.83,1.78,5.46,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,11,5.2,3.25,13.52,-16.02,7.27,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,12,2.23,2.23,14.94,-7.06,11.06,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,13,2.86,0.83,14.6,-7.25,5.09,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,14,6.71,-2.27,15.78,-8.12,6.96,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,15,4.26,-0.5,11.38,-30.34,1.79,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,16,3.25,-13.27,8.87,-22.12,-3.6,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,17,2.41,-9.1,13.93,-76.76,-18.77,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,18,4.04,-23.02,21.8,-21.65,11.7,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,19,5.0,-31.07,25.85,38.78,17.27,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,20,4.46,-24.78,20.68,26.69,16.53,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,21,1.78,-11.23,13.05,11.44,9.18,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,22,1.48,-14.42,10.52,8.25,6.07,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,23,6.37,-5.5,12.31,5.51,9.51,
2026-09-24,pre_dam,2026-09-23T13:01:51.882484+00:00,2025-10-01,2025-10-02,24,3.46,-3.98,12.45,9.58,3.53,
