hour,p_pos,p_big_pos,p_big_neg,p_low_rt,call,confidence,edge,tier,big_pos_watch,big_neg_watch,sbg_watch
1,0.66,0.0,0.007,0.006,DART > 0,60.3,1.82,low,False,False,False
2,0.573,0.0,0.004,0.005,DART < 0,40.6,0.41,low,False,False,False
3,0.495,0.0,0.004,0.013,DART < 0,37.6,0.78,low,False,False,False
4,0.514,0.0,0.004,0.01,DART < 0,40.6,0.41,low,False,False,False
5,0.495,0.0,0.004,0.015,DART < 0,37.6,0.78,low,False,False,False
6,0.46,0.0,0.005,0.008,DART < 0,37.6,0.78,low,False,False,False
7,0.637,0.001,0.005,0.007,DART < 0,40.6,0.41,low,False,False,False
8,0.629,0.001,0.006,0.003,DART < 0,40.6,0.41,low,False,False,False
9,0.587,0.0,0.007,0.002,DART < 0,40.6,0.41,low,False,False,False
10,0.573,0.0,0.007,0.004,DART < 0,40.6,0.41,low,False,False,False
11,0.582,0.0,0.008,0.003,DART < 0,40.6,0.41,low,False,False,False
12,0.548,0.0,0.011,0.001,DART < 0,40.6,0.41,low,False,False,False
13,0.573,0.0,0.01,0.002,DART < 0,40.6,0.41,low,False,False,False
14,0.633,0.0,0.012,0.002,DART < 0,40.6,0.41,low,False,False,False
15,0.668,0.0,0.012,0.002,DART > 0,60.3,1.82,low,False,False,False
16,0.662,0.0,0.02,0.001,DART > 0,60.3,1.82,low,False,False,False
17,0.596,0.002,0.029,0.0,DART < 0,40.6,0.41,low,False,False,False
18,0.722,0.003,0.036,0.001,DART > 0,60.3,1.82,low,False,False,False
19,0.707,0.003,0.033,0.001,DART > 0,60.3,1.82,low,False,False,False
20,0.698,0.002,0.03,0.0,DART > 0,60.3,1.82,low,False,False,False
21,0.678,0.001,0.025,0.001,DART > 0,60.3,1.82,low,False,False,False
22,0.684,0.0,0.015,0.003,DART > 0,60.3,1.82,low,False,False,False
23,0.732,0.0,0.013,0.006,DART > 0,60.3,1.82,low,False,False,False
24,0.718,0.0,0.008,0.016,DART > 0,60.3,1.82,low,False,False,False
