hour,p_pos,p_big_pos,p_big_neg,p_low_rt,call,confidence,edge,tier,big_pos_watch,big_neg_watch,sbg_watch
1,0.444,0.0,0.006,0.013,DART < 0,38.8,4.28,low,False,False,False
2,0.507,0.0,0.007,0.015,DART < 0,52.5,6.74,medium,False,False,False
3,0.496,0.0,0.012,0.018,DART < 0,38.8,4.28,low,False,False,False
4,0.382,0.0,0.015,0.018,DART < 0,38.8,4.28,low,False,False,False
5,0.405,0.0,0.011,0.014,DART < 0,38.8,4.28,low,False,False,False
6,0.541,0.0,0.018,0.014,DART < 0,52.5,6.74,medium,False,False,False
7,0.629,0.0,0.014,0.01,DART < 0,52.5,6.74,medium,False,False,False
8,0.545,0.0,0.011,0.004,DART < 0,52.5,6.74,medium,False,False,False
9,0.606,0.0,0.012,0.006,DART < 0,52.5,6.74,medium,False,False,False
10,0.649,0.0,0.012,0.011,DART < 0,52.5,6.74,medium,False,False,False
11,0.651,0.0,0.015,0.01,DART > 0,62.2,1.13,low,False,False,False
12,0.665,0.0,0.012,0.008,DART > 0,62.2,1.13,low,False,False,False
13,0.686,0.0,0.014,0.008,DART > 0,62.2,1.13,low,False,False,False
14,0.712,0.0,0.009,0.008,DART > 0,62.2,1.13,low,False,False,False
15,0.65,0.0,0.01,0.004,DART > 0,62.2,1.13,low,False,False,False
16,0.673,0.0,0.013,0.002,DART > 0,62.2,1.13,low,False,False,False
17,0.632,0.002,0.024,0.001,DART < 0,52.5,6.74,medium,False,False,False
18,0.796,0.009,0.029,0.001,DART > 0,62.2,1.13,low,False,False,False
19,0.783,0.009,0.034,0.001,DART > 0,62.2,1.13,low,False,False,False
20,0.725,0.006,0.036,0.001,DART > 0,62.2,1.13,low,False,False,False
21,0.655,0.0,0.018,0.001,DART > 0,62.2,1.13,low,False,False,False
22,0.701,0.0,0.015,0.001,DART > 0,62.2,1.13,low,False,False,False
23,0.711,0.0,0.01,0.002,DART > 0,62.2,1.13,low,False,False,False
24,0.756,0.0,0.01,0.002,DART > 0,62.2,1.13,low,False,False,False
