hour,p_pos,p_big_pos,p_big_neg,p_low_rt,call,confidence,edge,tier,big_pos_watch,big_neg_watch,sbg_watch
1,0.586,0.0,0.004,0.018,DART < 0,41.6,0.29,low,False,False,False
2,0.559,0.0,0.006,0.02,DART < 0,41.6,0.29,low,False,False,False
3,0.484,0.0,0.005,0.021,DART < 0,37.5,1.08,low,False,False,False
4,0.51,0.0,0.005,0.021,DART < 0,41.6,0.29,low,False,False,False
5,0.503,0.0,0.005,0.015,DART < 0,41.6,0.29,low,False,False,False
6,0.552,0.0,0.005,0.014,DART < 0,41.6,0.29,low,False,False,False
7,0.578,0.001,0.004,0.013,DART < 0,41.6,0.29,low,False,False,False
8,0.657,0.0,0.003,0.006,DART > 0,59.2,0.43,low,False,False,False
9,0.693,0.001,0.007,0.007,DART > 0,59.2,0.43,low,False,False,False
10,0.741,0.001,0.007,0.01,DART > 0,59.2,0.43,low,False,False,False
11,0.737,0.001,0.009,0.009,DART > 0,59.2,0.43,low,False,False,False
12,0.765,0.001,0.008,0.007,DART > 0,59.2,0.43,low,False,False,False
13,0.766,0.001,0.007,0.009,DART > 0,59.2,0.43,low,False,False,False
14,0.721,0.001,0.003,0.01,DART > 0,59.2,0.43,low,False,False,False
15,0.674,0.001,0.006,0.004,DART > 0,59.2,0.43,low,False,False,False
16,0.695,0.001,0.014,0.002,DART > 0,59.2,0.43,low,False,False,False
17,0.661,0.001,0.022,0.001,DART > 0,59.2,0.43,low,False,False,False
18,0.745,0.01,0.032,0.001,DART > 0,59.2,0.43,low,False,False,False
19,0.75,0.008,0.045,0.001,DART > 0,59.2,0.43,low,False,False,False
20,0.73,0.002,0.038,0.001,DART > 0,59.2,0.43,low,False,False,False
21,0.669,0.001,0.017,0.001,DART > 0,59.2,0.43,low,False,False,False
22,0.702,0.0,0.014,0.001,DART > 0,59.2,0.43,low,False,False,False
23,0.701,0.0,0.004,0.002,DART > 0,59.2,0.43,low,False,False,False
24,0.806,0.0,0.003,0.003,DART > 0,74.6,11.1,high,False,False,False
