target_date,generated_at,backfilled,hour,p_pos,p_big_pos,p_big_neg,call,tier,confidence,edge,big_pos_watch,big_neg_watch
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,1,0.694,0.001,0.027,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,2,0.736,0.001,0.014,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,3,0.649,0.001,0.007,DART < 0,low,50.5,1.6,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,4,0.782,0.031,0.007,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,5,0.767,0.005,0.017,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,6,0.707,0.011,0.04,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,7,0.642,0.015,0.066,DART < 0,low,50.5,1.6,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,8,0.598,0.013,0.115,DART < 0,low,50.5,1.6,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,9,0.634,0.007,0.056,DART < 0,low,50.5,1.6,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,10,0.804,0.309,0.049,DART < 0,low,33.4,6.79,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,11,0.757,0.069,0.047,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,12,0.771,0.081,0.042,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,13,0.728,0.063,0.05,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,14,0.794,0.143,0.028,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,15,0.836,0.239,0.077,DART < 0,low,33.4,6.79,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,16,0.75,0.274,0.139,DART < 0,low,43.8,4.77,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,17,0.83,0.515,0.111,DART < 0,low,33.4,6.79,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,18,0.824,0.635,0.121,DART < 0,low,33.4,6.79,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,19,0.791,0.607,0.147,DART < 0,low,43.8,4.77,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,20,0.81,0.473,0.133,DART < 0,low,33.4,6.79,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,21,0.769,0.384,0.108,DART < 0,low,43.8,4.77,True,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,22,0.713,0.213,0.149,DART < 0,low,43.8,4.77,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,23,0.604,0.011,0.142,DART < 0,low,50.5,1.6,False,False
2026-07-10,2026-07-09T15:54:01.249856+00:00,True,24,0.629,0.001,0.048,DART < 0,low,50.5,1.6,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,1,0.704,0.004,0.022,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,2,0.79,0.002,0.009,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,3,0.704,0.0,0.011,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,4,0.63,0.0,0.013,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,5,0.594,0.0,0.014,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,6,0.631,0.0,0.017,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,7,0.6,0.029,0.036,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,8,0.72,0.023,0.05,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,9,0.733,0.069,0.065,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,10,0.678,0.025,0.086,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,11,0.711,0.079,0.059,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,12,0.675,0.113,0.058,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,13,0.644,0.02,0.062,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,14,0.645,0.132,0.053,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,15,0.763,0.302,0.068,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,16,0.677,0.265,0.081,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,17,0.709,0.411,0.104,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,18,0.69,0.406,0.115,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,19,0.779,0.33,0.127,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,20,0.695,0.333,0.102,DART < 0,low,41.5,3.12,True,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,21,0.771,0.234,0.158,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,22,0.657,0.037,0.104,DART < 0,low,41.5,3.12,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,23,0.636,0.012,0.038,DART < 0,low,51.0,1.42,False,False
2026-07-11,2026-07-10T13:51:18.527408+00:00,True,24,0.721,0.005,0.024,DART < 0,low,41.5,3.12,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,1,0.797,0.003,0.03,DART > 0,low,58.9,0.36,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,2,0.642,0.001,0.012,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,3,0.648,0.001,0.014,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,4,0.561,0.001,0.018,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,5,0.516,0.001,0.019,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,6,0.53,0.001,0.021,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,7,0.518,0.001,0.026,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,8,0.538,0.001,0.03,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,9,0.549,0.004,0.044,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,10,0.505,0.007,0.085,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,11,0.614,0.015,0.095,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,12,0.536,0.018,0.132,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,13,0.538,0.019,0.115,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,14,0.535,0.04,0.107,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,15,0.341,0.064,0.145,DART < 0,low,66.7,18.68,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,16,0.512,0.427,0.142,DART < 0,low,53.2,5.07,True,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,17,0.691,0.335,0.16,DART > 0,low,58.9,0.36,True,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,18,0.671,0.296,0.194,DART > 0,low,58.9,0.36,True,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,19,0.718,0.311,0.18,DART > 0,low,58.9,0.36,True,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,20,0.707,0.308,0.104,DART > 0,low,58.9,0.36,True,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,21,0.716,0.217,0.096,DART > 0,low,58.9,0.36,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,22,0.676,0.017,0.067,DART > 0,low,58.9,0.36,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,23,0.591,0.013,0.029,DART < 0,low,53.2,5.07,False,False
2026-07-12,2026-07-11T13:23:25.487286+00:00,True,24,0.675,0.003,0.05,DART > 0,low,58.9,0.36,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,1,0.79,0.003,0.015,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,2,0.737,0.001,0.007,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,3,0.773,0.001,0.007,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,4,0.695,0.001,0.007,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,5,0.722,0.001,0.017,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,6,0.746,0.001,0.015,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,7,0.639,0.003,0.027,DART < 0,low,50.2,4.23,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,8,0.608,0.003,0.052,DART < 0,low,50.2,4.23,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,9,0.631,0.011,0.076,DART < 0,low,50.2,4.23,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,10,0.69,0.013,0.058,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,11,0.729,0.058,0.107,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,12,0.691,0.163,0.084,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,13,0.705,0.176,0.113,DART < 0,low,41.3,3.37,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,14,0.695,0.447,0.093,DART < 0,low,41.3,3.37,True,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,15,0.746,0.323,0.147,DART < 0,low,41.3,3.37,True,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,16,0.775,0.583,0.214,DART < 0,low,41.3,3.37,True,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,17,0.715,0.515,0.276,DART < 0,low,41.3,3.37,True,True
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,18,0.694,0.558,0.289,DART < 0,low,41.3,3.37,True,True
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,19,0.728,0.569,0.314,DART < 0,low,41.3,3.37,True,True
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,20,0.775,0.59,0.237,DART < 0,low,41.3,3.37,True,True
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,21,0.72,0.548,0.195,DART < 0,low,41.3,3.37,True,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,22,0.688,0.406,0.182,DART < 0,low,41.3,3.37,True,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,23,0.641,0.159,0.176,DART < 0,low,50.2,4.23,False,False
2026-07-13,2026-07-12T13:43:33.474195+00:00,True,24,0.468,0.013,0.173,DART < 0,low,55.0,16.69,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,1,0.273,0.003,0.072,DART < 0,low,59.3,24.51,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,2,0.617,0.003,0.063,DART < 0,low,49.0,5.3,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,3,0.666,0.005,0.036,DART < 0,low,40.3,1.39,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,4,0.607,0.004,0.037,DART < 0,low,49.0,5.3,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,5,0.586,0.003,0.048,DART < 0,low,49.0,5.3,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,6,0.597,0.009,0.048,DART < 0,low,49.0,5.3,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,7,0.596,0.019,0.133,DART < 0,low,49.0,5.3,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,8,0.672,0.066,0.205,DART < 0,low,40.3,1.39,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,9,0.746,0.151,0.188,DART < 0,low,40.3,1.39,False,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,10,0.805,0.443,0.236,DART < 0,low,32.4,5.8,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,11,0.779,0.582,0.18,DART < 0,low,40.3,1.39,True,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,12,0.761,0.57,0.146,DART < 0,low,40.3,1.39,True,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,13,0.752,0.505,0.206,DART < 0,low,40.3,1.39,True,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,14,0.678,0.552,0.189,DART < 0,low,40.3,1.39,True,False
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,15,0.641,0.565,0.284,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,16,0.637,0.583,0.304,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,17,0.588,0.554,0.219,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,18,0.56,0.602,0.279,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,19,0.625,0.555,0.283,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,20,0.628,0.572,0.254,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,21,0.732,0.479,0.249,DART < 0,low,40.3,1.39,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,22,0.621,0.484,0.221,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,23,0.648,0.398,0.23,DART < 0,low,49.0,5.3,True,True
2026-07-14,2026-07-13T13:40:16.659432+00:00,True,24,0.48,0.236,0.209,DART < 0,low,57.7,15.49,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,1,0.735,0.013,0.052,DART > 0,low,61.4,0.73,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,2,0.788,0.013,0.012,DART > 0,low,61.4,0.73,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,3,0.636,0.014,0.019,DART > 0,low,52.5,2.67,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,4,0.581,0.004,0.014,DART > 0,low,52.5,2.67,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,5,0.561,0.003,0.022,DART > 0,low,52.5,2.67,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,6,0.464,0.006,0.026,DART < 0,low,50.7,1.22,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,7,0.641,0.021,0.03,DART > 0,low,52.5,2.67,False,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,8,0.813,0.539,0.066,DART < 0,low,33.9,5.93,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,9,0.695,0.573,0.036,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,10,0.679,0.68,0.051,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,11,0.766,0.583,0.086,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,12,0.665,0.594,0.047,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,13,0.736,0.631,0.039,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,14,0.779,0.775,0.101,DART > 0,low,61.4,0.73,True,False
2026-07-16,2026-07-15T13:34:07.752650+00:00,True,15,0.843,0.76,0.089,DART < 0,low,33.9,5.93,True,False
