target_date,vintage,generated_at,backfilled,hour,p_pos,p_big_pos,p_big_neg,p_low_rt,call,tier,confidence,edge,big_pos_watch,big_neg_watch,sbg_watch
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,1,0.569,0.0,0.002,0.031,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,2,0.48,0.0,0.002,0.032,DART > 0,low,59.3,0.13,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,3,0.435,0.0,0.001,0.027,DART > 0,low,59.3,0.13,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,4,0.431,0.0,0.002,0.019,DART > 0,low,59.3,0.13,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,5,0.555,0.0,0.002,0.01,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,6,0.575,0.001,0.007,0.003,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,7,0.592,0.001,0.031,0.002,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,8,0.495,0.001,0.017,0.002,DART > 0,low,59.3,0.13,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,9,0.542,0.0,0.009,0.004,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,10,0.585,0.0,0.004,0.007,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,11,0.568,0.0,0.005,0.009,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,12,0.609,0.0,0.008,0.006,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,13,0.584,0.0,0.007,0.005,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,14,0.61,0.0,0.005,0.004,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,15,0.694,0.0,0.018,0.003,DART > 0,low,59.2,2.54,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,16,0.504,0.0,0.019,0.003,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,17,0.553,0.001,0.024,0.001,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,18,0.631,0.002,0.053,0.001,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,19,0.708,0.003,0.081,0.001,DART > 0,low,59.2,2.54,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,20,0.684,0.002,0.081,0.001,DART > 0,low,59.2,2.54,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,21,0.628,0.001,0.026,0.002,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,22,0.659,0.0,0.026,0.003,DART > 0,low,59.2,2.54,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,23,0.625,0.0,0.009,0.005,DART < 0,medium,43.5,4.07,False,False,False
2026-09-24,post_dam,2026-09-23T22:23:57.922764+00:00,False,24,0.73,0.0,0.002,0.006,DART > 0,low,59.2,2.54,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,1,0.594,0.0,0.002,0.014,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,2,0.533,0.0,0.002,0.016,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,3,0.526,0.0,0.002,0.019,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,4,0.476,0.0,0.002,0.021,DART < 0,low,39.9,0.96,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,5,0.655,0.0,0.003,0.007,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,6,0.61,0.0,0.01,0.004,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,7,0.62,0.001,0.022,0.002,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,8,0.592,0.001,0.017,0.002,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,9,0.589,0.0,0.011,0.003,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,10,0.687,0.0,0.008,0.007,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,11,0.709,0.0,0.008,0.011,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,12,0.712,0.0,0.012,0.009,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,13,0.659,0.0,0.009,0.01,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,14,0.676,0.0,0.007,0.006,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,15,0.722,0.0,0.019,0.003,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,16,0.57,0.0,0.03,0.002,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,17,0.595,0.001,0.042,0.001,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,18,0.659,0.003,0.111,0.001,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,19,0.716,0.003,0.116,0.001,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,20,0.726,0.002,0.085,0.001,DART < 0,low,42.4,0.43,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,21,0.644,0.001,0.03,0.002,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,22,0.644,0.0,0.031,0.002,DART < 0,low,44.7,2.18,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:47.048781+00:00,False,23,0.653,0.0,0.005,0.006,DART < 0,low,42.4,0.43,False,False,False
