timestamp,temperature_2m_p10,temperature_2m_p50,temperature_2m_p90,temperature_2m_members,relative_humidity_2m_p10,relative_humidity_2m_p50,relative_humidity_2m_p90,relative_humidity_2m_members,precipitation_p10,precipitation_p50,precipitation_p90,precipitation_members,snowfall_p10,snowfall_p50,snowfall_p90,snowfall_members,wind_speed_10m_p10,wind_speed_10m_p50,wind_speed_10m_p90,wind_speed_10m_members,shortwave_radiation_p10,shortwave_radiation_p50,shortwave_radiation_p90,shortwave_radiation_members,temperature_2m_prev1,temperature_2m_prev2,temperature_2m_prev3,relative_humidity_2m_prev1,relative_humidity_2m_prev2,relative_humidity_2m_prev3,precipitation_prev1,precipitation_prev2,precipitation_prev3,snowfall_prev1,snowfall_prev2,snowfall_prev3,wind_speed_10m_prev1,wind_speed_10m_prev2,wind_speed_10m_prev3,shortwave_radiation_prev1,shortwave_radiation_prev2,shortwave_radiation_prev3,wind_speed_100m_port_alma_p10,wind_speed_100m_port_alma_p50,wind_speed_100m_port_alma_p90,wind_speed_100m_port_alma_members,wind_speed_100m_port_alma_prev1,wind_speed_100m_port_alma_prev2,wind_speed_100m_port_alma_prev3
2026-08-21 19:00:00-05:00,19.1,19.5,19.8,51,68.0,71.0,78.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.3,1.71,2.4,51,47.0,54.0,59.0,51,19.0,18.0,18.1,74.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,1.68,1.25,0.0,38.0,38.0,4.12,4.72,5.31,51,4.46,5.42,5.53
2026-08-21 20:00:00-05:00,18.3,18.6,19.0,51,72.0,75.0,79.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.5,1.9,2.37,51,0.0,0.0,0.0,51,17.7,16.9,17.1,76.0,62.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.06,0.92,0.0,0.0,0.0,4.46,5.02,5.72,51,4.83,5.2,5.64
2026-08-21 21:00:00-05:00,17.7,18.0,18.3,51,72.0,76.0,80.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.65,1.96,2.26,51,0.0,0.0,0.0,51,16.8,16.3,16.5,77.0,63.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,1.6,0.36,0.0,0.0,0.0,4.36,5.37,6.45,51,5.26,6.16,6.22
2026-08-21 22:00:00-05:00,16.9,17.2,17.6,51,72.0,77.0,82.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.68,1.92,2.34,51,0.0,0.0,0.0,51,16.0,15.3,16.0,75.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,1.91,0.54,0.0,0.0,0.0,4.05,5.48,6.73,51,5.66,6.61,6.43
2026-08-21 23:00:00-05:00,16.0,16.3,16.6,51,74.0,79.0,83.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.58,1.79,2.12,51,0.0,0.0,0.0,51,15.3,14.3,15.5,80.0,71.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,2.1,1.71,0.0,0.0,0.0,4.07,5.44,6.45,51,6.58,8.08,6.82
2026-08-22 00:00:00-05:00,14.8,15.2,15.5,51,77.0,81.0,85.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.41,1.63,1.8,51,0.0,0.0,0.0,51,14.7,13.6,14.9,80.0,74.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.75,1.3,0.0,0.0,0.0,3.7,6.1,7.0,51,6.23,7.45,7.24
2026-08-22 01:00:00-05:00,14.0,14.5,14.7,51,79.0,83.0,88.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.4,1.51,1.8,51,0.0,0.0,0.0,51,13.0,12.8,14.2,87.0,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,2.02,1.75,0.0,0.0,0.0,4.3,6.71,8.24,51,2.19,6.46,5.99
2026-08-22 02:00:00-05:00,13.5,14.0,14.2,51,80.0,83.0,89.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.53,1.75,2.04,51,0.0,0.0,0.0,51,12.4,12.3,13.6,89.0,81.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,2.25,1.62,0.0,0.0,0.0,4.51,6.46,7.88,51,2.64,5.57,5.02
2026-08-22 03:00:00-05:00,13.4,13.7,13.9,51,81.0,84.0,89.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.77,2.15,2.47,51,0.0,0.0,0.0,51,11.9,11.9,13.2,89.0,83.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.16,1.77,0.0,0.0,0.0,4.66,5.92,7.13,51,3.75,4.61,3.74
2026-08-22 04:00:00-05:00,13.4,13.7,13.9,51,82.0,85.0,89.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.9,2.4,2.78,51,0.0,0.0,0.0,51,11.6,11.5,13.0,89.0,85.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.02,2.08,0.0,0.0,0.0,4.42,5.67,6.59,51,5.91,2.64,2.48
2026-08-22 05:00:00-05:00,13.4,13.8,14.0,51,83.0,85.0,90.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,1.96,2.45,2.82,51,0.0,0.0,0.0,51,11.2,11.2,12.8,88.0,86.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,2.51,2.15,0.0,0.0,0.0,3.55,4.87,5.83,51,7.14,2.41,1.34
2026-08-22 06:00:00-05:00,13.7,14.1,14.3,51,84.0,86.0,90.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.02,2.4,2.7,51,29.0,30.0,32.0,51,11.5,11.7,13.4,90.0,84.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,2.64,2.06,25.0,21.0,20.0,2.47,4.02,5.26,51,8.32,2.22,0.9
2026-08-22 07:00:00-05:00,14.4,14.9,15.1,51,82.0,84.0,88.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.1,2.4,2.7,51,154.0,161.0,165.0,51,14.5,13.8,15.8,80.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.94,3.16,171.0,120.0,154.0,1.84,3.7,5.57,51,5.72,2.38,2.86
2026-08-22 08:00:00-05:00,16.0,16.4,16.6,51,77.0,79.0,82.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.24,2.51,2.72,51,310.0,326.0,331.0,51,16.3,16.4,18.1,76.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,3.31,3.44,348.0,330.0,330.0,2.2,3.91,5.54,51,7.04,3.1,3.02
2026-08-22 09:00:00-05:00,18.1,18.4,18.6,51,71.0,72.0,74.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.26,2.57,3.01,51,470.0,495.0,503.0,51,18.5,18.7,20.3,67.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.1,3.7,500.0,503.0,501.0,2.2,4.51,6.18,51,4.21,2.45,2.76
2026-08-22 10:00:00-05:00,19.9,20.2,20.5,51,64.0,66.0,68.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.18,2.66,3.14,51,585.0,621.0,646.0,51,20.1,20.9,22.2,67.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,2.4,3.5,653.0,646.0,646.0,2.42,4.75,6.89,51,4.07,2.97,3.04
2026-08-22 11:00:00-05:00,21.5,21.8,22.1,51,60.0,62.0,64.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.33,2.69,3.16,51,657.0,713.0,750.0,51,21.6,22.0,23.8,60.0,58.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,3.0,3.54,745.0,648.0,752.0,3.22,5.0,6.95,51,4.98,4.26,3.4
2026-08-22 12:00:00-05:00,22.9,23.3,23.5,51,57.0,59.0,61.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.55,2.95,3.47,51,679.0,754.0,789.0,51,22.6,22.9,24.9,59.0,58.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.47,3.58,792.0,666.0,808.0,3.62,5.1,6.73,51,5.95,6.02,3.18
2026-08-22 13:00:00-05:00,23.7,24.3,24.6,51,55.0,57.0,60.0,51,0.0,0.0,0.0,51,0.0,0.0,0.0,51,2.73,3.26,4.03,51,658.0,722.0,763.0,51,23.7,24.3,25.5,59.0,53.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,3.48,3.47,821.0,818.0,755.0,3.91,5.57,6.6,51,6.68,5.3,3.0
